room_id,room_name,x_min,x_max,y_min,y_max,floor
1_1,分会场A,2,3,1,5,1
1_2,分会场B,4,5,1,5,1
1_3,分会场C,6,7,1,5,1
1_4,分会场D,8,9,1,5,1
1_5,海报区,3,9,7,8,1
1_6,厕所1,4,5,10,11,1
1_7,room1,6,9,10,11,1
1_8,room2,10,11,10,11,1
1_9,签到处,12,13,2,5,1
1_10,扶梯1,1,1,10,11,1
1_11,扶梯2,14,14,10,11,1
1_12,展厅,2,11,15,18,1
1_13,主会场,2,11,19,28,1
1_14,服务台,14,15,19,20,1
1_15,room3,14,15,21,24,1
1_16,room4,14,15,25,26,1
1_17,厕所2,14,15,27,28,1
1_18,入口1,13,13,0,0,1
1_19,入口2,15,15,2,2,1
1_20,入口3,15,15,4,4,1
1_21,入口4,15,15,7,7,1
1_22,出口1,0,0,19,19,1
1_23,出口2,15,15,5,5,1
1_24,出口3,15,15,15,15,1
1_25,出口4,15,15,17,17,1
2_1,餐厅,2,9,1,5,2
2_2,room5,10,11,1,5,2
2_3,厕所3,4,5,10,11,2
2_4,room6,6,7,10,11,2
2_5,休闲区,13,15,0,5,2
2_6,扶梯3,1,1,10,11,2
2_7,扶梯4,14,14,10,11,2
